service,port
netbus,12345
heretic2,28910
idmgratm,32896
fairview,38202
cscp,40841
EtherNetIP-2,44818
mediabox,46999
nimhub,48002
isnetserv,48128
device2,2030
bgpd,2605
iso-ip,147
at-8,208
csi-sgwp,348
iso-ill,499
zion-lm,1425
powerchuteplus,6549
mpm-snd,46
send,169
cl-1,172
sur-meas,243
cableport-ax,282
tenebris_nts,359
alpes,463
bytex,1375
aol-2,5192
uucp-rlogin,541
rlp,39
csnet-ns,105
rtelnet,107
bhevent,357
uis,390
mondex,471
pov-ray,494
apri-lm,1447
dwf,1450
xdsxdm,6558
hermes,1248
deslogin,3005
ajp12,8007
rtsserv,2500
ni-mail,61
sqlsrv,156
s-net,166
at-3,203
dayna,244
embl-ndt,394
prm-nm,409
utmpcd,431
ulpnet,483
siam,498
xvttp,508
idfp,549
sdnskmp,558
eyelink,589
rgtp,1431
micromuse-lm,1534
cplscrambler-lg,1086
cplscrambler-al,1088
sunclustermgr,1097
ms-v-worlds,2525
vrml-multi-use,4242
pichat,9009
omginitialrefs,900
backupexec,6101
graphics,41
via-ftp,63
bhmds,310
pdap,344
mortgageware,367
nnsp,433
mylex-mapd,467
whoami,565
cab-protocol,595
gtegsc-lm,1452
csdmbase,1471
sdxauthd,5540
prosharerequest,5716
corbaloc,2809
fodms,7200
pawserv,345
netcp,395
ariel2,421
ocs_amu,429
ftp-agent,574
sntp-heartbeat,580
localinfosrvr,1487
dmdocbroker,1489
evb-elm,1504
atm-zip-office,1520
914c-g,211
mdbs_daemon,800
ansoft-lm-1,1083
cce4x,12000
sometimes-rpc13,32775
agentx,705
multiplex,171
softpc,215
subntbcst_tftp,247
arns,384
imap4-ssl,585
netview-aix-9,1669
hacl-test,5305
cisco-tdp,711
btx,20005
namp,167
aci,187
dn6-nlm-aud,195
dtk,365
is99c,379
bdp,581
www-dev,2784
prosharedata,5715
cucme-3,7650
acmsoda,6969
netbackup,13783
fpitp,1045
wfremotertm,1046
startron,1057
kiosk,1061
kyoceranetdev,1063
gmrupdateserv,1070
cardax,1072
bridgecontrol,1073
rdrmshc,1075
imgames,1077
avocent-proxy,1078
asprovatalk,1079
pvuniwien,1081
amt-esd-prot,1082
webobjects,1085
proofd,1093
rootd,1094
cnrprotocol,1096
rmiactivation,1098
rmiregistry,1099
mctp,1100
xrl,1104
isoipsigport-1,1106
isoipsigport-2,1107
ratio-adp,1108
elfiq-repl,1148
tripwire,1169
cspmlockmgr,1272
husky,1310
nsjtp-ctrl,1687
h323gatedisc,1718
netopia-vo2,1840
sentinelsrm,1947
amiganetfs,2100
gsigatekeeper,2119
gris,2135
lv-ffx,2144
apc-2160,2160
tivoconnect,2190
apc-2260,2260
compaq-https,2381
fmpro-fdal,2399
groove,2492
connection,2607
pn-requester2,2718
gsiftp,2811
dxmessagebase2,2875
event_listener,3017
eppc,3031
csd-mgmt-port,3071
avsecuremgmt,3211
active-net,3323
active-net,3325
btrieve,3351
satvid-datalnk,3367
apcupsd,3551
nati-svrloc,3580
apple-sasl,3659
bfd-control,3784
ibm-mgr,3801
netmpi,3827
dnx,3998
pxc-splr-ft,4003
ddrepl,4126
nuauth,4129
privatewire,4449
surfpass,5030
xmpp-client,5222
xmpp-server,5269
statusd,5414
beorl,5633
dpm,5718
cm,5910
cpdlc,5911
wbem-rmi,5987
wbem-http,5988
wbem-https,5989
backup-express,6123
clariion-evr01,6389
parsec-master,6580
smc-http,6788
jetstream,6901
soap-http,7627
scriptview,7741
cbt,7777
interwise,7778
d-s-n,8086
simplifymedia,8087
bitcoin,8333
cvd,8400
abarsd,8402
asterix,8600
dxspider,8873
dynamid,9002
sdr,9010
glrpc,9080
ismserver,9500
condor,9618
documentum,10002
sysinfo-sp,11967
scotty-ft,14000
bex-xr,15660
fmsascon,16001
dnp,20000
ipulse-ics,20222
netsc-prod,154
xns-courier,165
vmnet,175
netware-ip,396
ncld,405
dna-cml,436
datasurfsrv,461
mm-admin,534
vemmi,575
cucme-2,7649
su-mit-tg,89
resvc,691
anet,212
tcp-id-port,1999
xinupageserver,2020
sometimes-rpc15,32776
direct,242
utmpsd,430
ampr-rcmd,459
intecourier,495
stx,527
netview-aix-5,1665
iss-realsec,2998
X11:3,6003
afs3-prserver,7002
